node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnDirection,QEM_TurnVolume,QEM_LinkVolume,QEM_Lanes,QEM_Shared,QEM_Width,QEM_Storage,QEM_StLanes,QEM_Grade,QEM_Speed,QEM_IdealFlow,QEM_LostTime,QEM_Phase1,QEM_PermPhase1,QEM_DetectPhase1,QEM_EffectiveGreen,QEM_Capacity,QEM_VOC,QEM_Delay,QEM_LOS,QEM_SatFlow,GreenStartTime,GreenEndTime,
35, ,100,0,40,34, ,Left,SBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,1400,0,0,
35, ,100,0,40,41, ,Right,SBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,1900,0,0,
35, ,100,0,40,33, ,Right,SBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,8,0,0,6,0,0,0, ,0,0,0,
35, ,100,0,41,34, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,1900,0,0,
35, ,100,0,41,40, ,Left,NBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,1900,0,0,
35, ,100,0,41,33, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,0,0,0,
35, ,100,0,34,40, ,Right,WBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,0,0,0,
35, ,100,0,34,41, ,Left,WBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,0,0,0,
35, ,100,0,34,33, ,Through,WBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,12,0,0,0,65,1900,4,6,0,0,105,0,0,0, ,0,0,0,
36, ,0,0,4,31, ,Through,SBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,2,0,12,0,0,0,30,1900,4,6,0,0,0,0,0,0, ,0,0,0,
